date,gulf_price,ny_price
1/2/14,2.515,2.718
1/3/14,2.493,2.671
1/6/14,2.515,2.678
1/7/14,2.556,2.704
1/8/14,2.545,2.684
1/9/14,2.528,2.667
1/10/14,2.605,2.693
1/13/14,2.544,2.643
1/14/14,2.528,2.636
1/15/14,2.551,2.639
1/16/14,2.513,2.608
1/17/14,2.602,2.652
1/21/14,2.577,2.659
1/22/14,2.596,2.706
1/23/14,2.557,2.69
1/24/14,2.545,2.694
1/27/14,2.528,2.665
1/28/14,2.52,2.661
1/29/14,2.544,2.685
1/30/14,2.585,2.705
1/31/14,2.555,2.663
2/3/14,2.536,2.643
2/4/14,2.541,2.641
2/5/14,2.569,2.669
2/6/14,2.628,2.718
2/7/14,2.691,2.784
2/10/14,2.653,2.753
2/11/14,2.704,2.79
2/12/14,2.719,2.796
2/13/14,2.74,2.812
2/14/14,2.766,2.838
2/18/14,2.756,2.881
2/19/14,2.714,2.864
2/20/14,2.68,2.903
2/21/14,2.7,2.87
2/24/14,2.953,2.873
2/25/14,2.763,2.832
2/26/14,2.679,2.829
2/27/14,2.709,2.794
2/28/14,2.703,2.825
3/3/14,2.788,2.864
3/4/14,2.724,2.816
3/5/14,2.715,2.772
3/6/14,2.726,2.788
3/7/14,2.704,2.804
3/10/14,2.709,2.792
3/11/14,2.724,2.803
3/12/14,2.714,2.796
3/13/14,2.695,2.773
3/14/14,2.788,2.79
3/17/14,2.722,2.712
3/18/14,2.739,2.729
3/19/14,2.688,2.706
3/20/14,2.704,2.717
3/21/14,2.741,2.748
3/24/14,2.701,2.709
3/25/14,2.68,2.671
3/26/14,2.6,2.693
3/27/14,2.719,2.721
3/28/14,2.736,2.701
3/31/14,2.686,2.719
4/1/14,2.685,2.665
4/2/14,2.701,2.676
4/3/14,2.742,2.729
4/4/14,2.764,2.756
4/7/14,2.773,2.758
4/8/14,2.816,2.891
4/9/14,2.809,2.917
4/10/14,2.819,2.931
4/11/14,2.824,2.934
4/14/14,2.85,2.965
4/15/14,2.831,2.976
4/16/14,2.841,2.963
4/17/14,2.84,2.982
4/21/14,2.837,3.014
4/22/14,2.85,3.015
4/23/14,2.855,3.023
4/24/14,2.795,2.988
4/25/14,2.841,2.966
4/28/14,2.797,2.894
4/29/14,2.811,2.914
4/30/14,2.735,2.868
5/1/14,2.719,2.846
5/2/14,2.742,2.892
5/5/14,2.712,2.842
5/6/14,2.669,2.814
5/7/14,2.722,2.857
5/8/14,2.702,2.827
5/9/14,2.685,2.82
5/12/14,2.711,2.839
5/13/14,2.72,2.843
5/14/14,2.766,2.883
5/15/14,2.773,2.87
5/16/14,2.784,2.884
5/19/14,2.787,2.87
5/20/14,2.794,2.874
5/21/14,2.82,2.9
5/22/14,2.831,2.919
5/23/14,2.836,2.919
5/27/14,2.82,2.839
5/28/14,2.805,2.858
5/29/14,2.827,2.862
5/30/14,2.79,2.852
6/2/14,2.769,2.829
6/3/14,2.773,2.821
6/4/14,2.742,2.811
6/5/14,2.773,2.826
6/6/14,2.76,2.81
6/9/14,2.799,2.844
6/10/14,2.798,2.845
6/11/14,2.809,2.867
6/12/14,2.893,2.943
6/13/14,2.862,2.909
6/16/14,2.895,2.927
6/17/14,2.922,2.939
6/18/14,2.915,2.95
6/19/14,2.924,2.969
6/20/14,2.93,2.975
6/23/14,2.911,2.939
6/24/14,2.927,2.954
6/25/14,2.852,2.928
6/26/14,2.854,2.913
6/27/14,2.873,2.925
6/30/14,2.847,2.888
7/1/14,2.833,2.888
7/2/14,2.818,2.875
7/3/14,2.819,2.896
7/7/14,2.784,2.857
7/8/14,2.764,2.854
7/9/14,2.724,2.806
7/10/14,2.741,2.836
7/11/14,2.712,2.79
7/14/14,2.724,2.817
7/15/14,2.71,2.783
7/16/14,2.698,2.778
7/17/14,2.682,2.777
7/18/14,2.677,2.777
7/21/14,2.705,2.805
7/22/14,2.682,2.79
7/23/14,2.671,2.778
7/24/14,2.66,2.755
7/25/14,2.681,2.781
7/28/14,2.661,2.758
7/29/14,2.668,2.773
7/30/14,2.658,2.737
7/31/14,2.605,2.736
8/1/14,2.557,2.673
8/4/14,2.563,2.66
8/5/14,2.562,2.654
8/6/14,2.598,2.698
8/7/14,2.639,2.729
8/8/14,2.631,2.698
8/11/14,2.645,2.708
8/12/14,2.641,2.691
8/13/14,2.652,2.707
8/14/14,2.578,2.645
8/15/14,2.65,2.678
8/18/14,2.608,2.645
8/19/14,2.642,2.687
8/20/14,2.691,2.706
8/21/14,2.703,2.752
8/22/14,2.687,2.732
8/25/14,2.695,2.742
8/26/14,2.636,2.762
8/27/14,2.621,2.73
8/28/14,2.603,2.745
8/29/14,2.657,2.772
9/2/14,2.583,2.698
9/3/14,2.637,2.761
9/4/14,2.637,2.772
9/5/14,2.655,2.76
9/8/14,2.589,2.726
9/9/14,2.564,2.721
9/10/14,2.546,2.706
9/11/14,2.543,2.666
9/12/14,2.536,2.636
9/15/14,2.556,2.653
9/16/14,2.585,2.668
9/17/14,2.579,2.684
9/18/14,2.623,2.675
9/19/14,2.621,2.707
9/22/14,2.58,2.693
9/23/14,2.692,2.747
9/24/14,2.648,2.795
9/25/14,2.659,2.809
9/26/14,2.632,2.767
9/29/14,2.653,2.804
9/30/14,2.586,2.692
10/1/14,2.605,2.605
10/2/14,2.534,2.642
10/3/14,2.445,2.593
10/6/14,2.451,2.614
10/7/14,2.348,2.56
10/8/14,2.263,2.471
10/9/14,2.189,2.396
10/10/14,2.196,2.376
10/13/14,2.162,2.365
10/14/14,2.098,2.313
10/15/14,2.037,2.285
10/16/14,2.074,2.337
10/17/14,2.095,2.358
10/20/14,2.059,2.374
10/21/14,2.06,2.402
10/22/14,2.019,2.297
10/23/14,2.088,2.335
10/24/14,2.054,2.324
10/27/14,2.03,2.287
10/28/14,2.062,2.304
10/29/14,2.082,2.341
10/30/14,2.055,2.3
10/31/14,2.118,2.28
11/3/14,2.041,2.218
11/4/14,2.012,2.178
11/5/14,2.075,2.204
11/6/14,2.108,2.233
11/7/14,2.114,2.232
11/10/14,2.044,2.214
11/11/14,2.046,2.216
11/12/14,2.061,2.203
11/13/14,1.919,2.116
11/14/14,1.902,2.167
11/17/14,1.878,2.143
11/18/14,1.855,2.15
11/19/14,1.868,2.148
11/20/14,1.854,2.144
11/21/14,1.882,2.172
11/24/14,1.853,2.143
11/25/14,1.833,2.138
11/26/14,1.828,2.125
11/28/14,1.64,2.002
12/1/14,1.708,2.005
12/2/14,1.623,1.901
12/3/14,1.61,1.895
12/4/14,1.644,1.869
12/5/14,1.615,1.84
12/8/14,1.567,1.766
12/9/14,1.577,1.777
12/10/14,1.53,1.705
12/11/14,1.436,1.674
12/12/14,1.409,1.641
12/15/14,1.403,1.618
12/16/14,1.374,1.581
12/17/14,1.385,1.606
12/18/14,1.349,1.589
12/19/14,1.407,1.64
12/22/14,1.335,1.582
12/23/14,1.171,1.631
12/24/14,1.225,1.575
12/26/14,1.221,1.571
12/29/14,1.224,1.522
12/30/14,1.216,1.516
12/31/14,1.288,1.525
1/2/15,1.294,1.492
1/5/15,1.234,1.434
1/6/15,1.247,1.389
1/7/15,1.192,1.352
1/8/15,1.2,1.37
1/9/15,1.174,1.336
1/12/15,1.166,1.283
1/13/15,1.182,1.284
1/14/15,1.261,1.361
1/15/15,1.23,1.317
1/16/15,1.295,1.382
1/20/15,1.286,1.336
1/21/15,1.27,1.345
1/22/15,1.283,1.353
1/23/15,1.312,1.367
1/26/15,1.279,1.321
1/27/15,1.373,1.355
1/28/15,1.37,1.368
1/29/15,1.358,1.378
1/30/15,1.421,1.462
2/2/15,1.522,1.54
2/3/15,1.568,1.575
2/4/15,1.483,1.483
2/5/15,1.489,1.516
2/6/15,1.54,1.543
2/9/15,1.555,1.562
2/10/15,1.575,1.557
2/11/15,1.554,1.544
2/12/15,1.595,1.593
2/13/15,1.602,1.617
2/17/15,1.554,1.574
2/18/15,1.55,1.568
2/19/15,1.618,1.623
2/20/15,1.656,1.651
2/23/15,1.676,1.656
2/24/15,1.663,1.623
2/25/15,1.684,1.751
2/26/15,1.757,1.739
2/27/15,1.81,1.82
3/2/15,1.727,1.742
3/3/15,1.773,1.763
3/4/15,1.723,1.73
3/5/15,1.678,1.703
3/6/15,1.759,1.691
3/9/15,1.696,1.686
3/10/15,1.671,1.634
3/11/15,1.66,1.642
3/12/15,1.636,1.618
3/13/15,1.598,1.563
3/16/15,1.57,1.54
3/17/15,1.601,1.541
3/18/15,1.736,1.616
3/19/15,1.689,1.569
3/20/15,1.684,1.609
3/23/15,1.697,1.629
3/24/15,1.696,1.639
3/25/15,1.719,1.661
3/26/15,1.756,1.708
3/27/15,1.632,1.634
3/30/15,1.621,1.64
3/31/15,1.59,1.615
4/1/15,1.644,1.666
4/2/15,1.595,1.61
4/6/15,1.668,1.755
4/7/15,1.689,1.775
4/8/15,1.57,1.66
4/9/15,1.585,1.67
4/10/15,1.658,1.721
4/13/15,1.652,1.715
4/14/15,1.677,1.717
4/15/15,1.77,1.807
4/16/15,1.773,1.825
4/17/15,1.762,1.822
4/20/15,1.76,1.818
4/21/15,1.73,1.787
4/22/15,1.759,1.817
4/23/15,1.841,1.906
4/24/15,1.844,1.909
4/27/15,1.842,1.906
4/28/15,1.84,1.907
4/29/15,1.852,1.909
4/30/15,1.896,1.951
5/1/15,1.877,1.947
5/4/15,1.864,1.939
5/5/15,1.873,1.968
5/6/15,1.85,1.93
5/7/15,1.829,1.889
5/8/15,1.837,1.887
5/11/15,1.835,1.88
5/12/15,1.871,1.921
5/13/15,1.876,1.943
5/14/15,1.921,1.971
5/15/15,1.93,1.97
5/18/15,1.917,1.959
5/19/15,1.861,1.916
5/20/15,1.909,1.944
5/21/15,1.945,1.998
5/22/15,1.939,1.981
5/26/15,1.888,1.918
5/27/15,1.839,1.87
5/28/15,1.869,1.92
5/29/15,1.958,2.011
6/1/15,1.935,1.988
6/2/15,1.943,2.015
6/3/15,1.933,1.986
6/4/15,1.871,1.924
6/5/15,1.906,1.964
6/8/15,1.892,1.952
6/9/15,1.971,2.019
6/10/15,2.055,2.092
6/11/15,2.007,2.072
6/12/15,2.003,2.07
6/15/15,1.975,2.043
6/16/15,2.013,2.098
6/17/15,1.95,2.062
6/18/15,1.951,2.041
6/19/15,1.908,2.003
6/22/15,1.902,1.985
6/23/15,1.952,2.012
6/24/15,1.922,1.975
6/25/15,1.902,1.951
6/26/15,1.914,1.96
6/29/15,1.903,1.93
6/30/15,1.984,1.971
7/1/15,1.953,1.951
7/2/15,2.007,1.969
7/6/15,1.91,1.885
7/7/15,1.965,1.91
7/8/15,2.044,1.957
7/9/15,2.008,2.016
7/10/15,1.986,1.994
7/13/15,1.868,1.883
7/14/15,1.85,1.873
7/15/15,1.786,1.808
7/16/15,1.88,1.843
7/17/15,1.914,1.876
7/20/15,1.897,1.88
7/21/15,1.859,1.867
7/22/15,1.795,1.803
7/23/15,1.764,1.799
7/24/15,1.718,1.768
7/27/15,1.706,1.744
7/28/15,1.676,1.742
7/29/15,1.724,1.778
7/30/15,1.734,1.766
7/31/15,1.74,1.705
8/3/15,1.663,1.751
8/4/15,1.669,1.764
8/5/15,1.644,1.674
8/6/15,1.627,1.655
8/7/15,1.606,1.631
8/10/15,1.663,1.705
8/11/15,1.708,1.713
8/12/15,1.773,1.772
8/13/15,1.749,1.729
8/14/15,1.704,1.699
8/17/15,1.646,1.669
8/18/15,1.619,1.644
8/19/15,1.532,1.56
8/20/15,1.502,1.537
8/21/15,1.531,1.556
8/24/15,1.437,1.485
8/25/15,1.395,1.456
8/26/15,1.31,1.386
8/27/15,1.378,1.464
8/28/15,1.419,1.524
8/31/15,1.485,1.651
9/1/15,1.408,1.393
9/2/15,1.435,1.555
9/3/15,1.399,1.561
9/4/15,1.367,1.53
9/8/15,1.327,1.507
9/9/15,1.314,1.474
9/10/15,1.359,1.482
9/11/15,1.323,1.456
